2,9.556730169648894,1.0990984439849854,"DecisionTreeClassifier(max_depth=600, random_state=42)","DecisionTreeClassifier(max_depth=200, random_state=42)"
3,80.39952088751237,0.8247935771942139,"DecisionTreeClassifier(max_depth=300, random_state=42)","DecisionTreeClassifier(max_depth=400, random_state=42)"
4,79.64278404148627,0.791881799697876,"DecisionTreeClassifier(max_depth=300, random_state=42)","DecisionTreeClassifier(max_depth=700, random_state=42)"
5,81.0094070303867,0.8417327404022217,"DecisionTreeClassifier(max_depth=300, random_state=42)","DecisionTreeClassifier(max_depth=400, random_state=42)"
6,80.89231513333999,0.8288471698760986,"DecisionTreeClassifier(max_depth=400, random_state=42)","DecisionTreeClassifier(max_depth=400, random_state=42)"
7,81.26028828017833,0.8477303981781006,"DecisionTreeClassifier(max_depth=300, random_state=42)","DecisionTreeClassifier(max_depth=500, random_state=42)"
8,81.29883236555258,0.8676130771636963,"DecisionTreeClassifier(max_depth=500, random_state=42)","DecisionTreeClassifier(max_depth=500, random_state=42)"
9,81.38143386457084,0.8797149658203125,"DecisionTreeClassifier(max_depth=300, random_state=42)","DecisionTreeClassifier(max_depth=700, random_state=42)"
10,81.43358413024168,0.9654061794281006,"DecisionTreeClassifier(max_depth=500, random_state=42)","DecisionTreeClassifier(max_depth=800, random_state=42)"
11,81.44727571063862,0.9165830612182617,"DecisionTreeClassifier(max_depth=400, random_state=42)","DecisionTreeClassifier(max_depth=700, random_state=42)"
12,81.51263462452131,0.9244658946990967,"DecisionTreeClassifier(max_depth=500, random_state=42)","DecisionTreeClassifier(max_depth=500, random_state=42)"
13,81.53126756539888,0.9116041660308838,"DecisionTreeClassifier(max_depth=400, random_state=42)","DecisionTreeClassifier(max_depth=600, random_state=42)"
14,81.55324163380202,0.9614367485046387,"DecisionTreeClassifier(max_depth=500, random_state=42)","DecisionTreeClassifier(max_depth=800, random_state=42)"
15,81.47388292844911,0.9195525646209717,"DecisionTreeClassifier(max_depth=400, random_state=42)","DecisionTreeClassifier(max_depth=500, random_state=42)"
